,SMAD4 (M),PIK3CA (M),MET (M),NF1 (M)
SMAD4 (M),-3.39,-0.04,-0.1,0.0
PIK3CA (M),-0.03,-2.85,-0.19,-1.03
MET (M),-0.12,-0.18,-3.12,-0.21
NF1 (M),0.0,-0.99,-0.16,-2.75
