,T0,T1,T2,B_1
T0,-0.82,-0.61,0.01,-0.0
T1,-0.33,-1.96,0.0,-0.0
T2,0.37,0.59,-2.19,-0.05
B_1,-0.06,0.31,-0.18,-0.06
