,T0,T1,T2,A_1
T0,-0.85,-0.25,0.0,-0.0
T1,-0.68,-1.86,0.0,-0.67
T2,0.37,0.65,-2.18,-0.69
A_1,-0.07,-0.05,-0.26,-2.28
