,T0,T1,T2,E_2
T0,-0.83,-0.45,0.0,0.0
T1,-0.49,-1.93,-0.0,0.01
T2,0.35,0.59,-2.21,-0.0
E_2,0.05,-0.09,0.4,-2.2
