,T0,T1,T2,B_1
T0,-1.09,-0.05,0.0,-0.0
T1,-0.29,-1.86,-0.0,-0.01
T2,0.63,-0.0,-2.19,0.0
B_1,-0.35,-0.0,0.0,0.02
