,T0,T1,T2,E_1
T0,-1.09,-0.01,0.0,0.0
T1,-0.34,-1.84,-0.0,-0.3
T2,0.6,-0.0,-2.2,0.29
E_1,0.0,-0.3,0.0,-2.62
