,T0,T1,T2,A_0
T0,-1.08,-0.03,0.0,-0.14
T1,-0.3,-1.86,-0.0,-0.0
T2,0.64,-0.0,-2.19,-0.04
A_0,-0.46,-0.0,-0.37,-2.43
