,T0,T1,T2,D_0
T0,-1.09,-0.0,0.0,-0.01
T1,-0.35,-1.85,-0.0,-0.0
T2,0.51,-0.1,-2.33,0.52
D_0,-0.0,0.42,0.0,-0.71
