,T0,T1,T2,C_2
T0,-1.06,-0.4,-0.0,-0.0
T1,-0.0,-1.92,-0.01,-0.0
T2,0.67,-0.0,-2.2,-0.0
C_2,-1.0,0.01,0.45,-1.38
