,T0,T1,T2,B_0
T0,-0.93,-0.92,-0.02,0.48
T1,-0.25,-2.04,0.1,0.0
T2,0.27,0.74,-2.0,-0.82
B_0,-1.06,0.03,0.51,-1.69
