,T0,T1,T2,E_3
T0,-0.89,-0.54,0.14,-0.07
T1,-0.48,-1.96,-0.14,0.0
T2,-0.02,0.75,-2.19,0.94
E_3,0.0,0.1,-0.0,-1.7
