,T0,T1,T2,C_3
T0,-0.88,-0.69,-0.28,0.06
T1,-0.37,-2.04,0.22,0.03
T2,0.41,0.6,-2.09,-0.06
C_3,-0.84,-0.07,0.17,-0.21
