,T0,T1,T2,A_0
T0,-0.91,-0.34,-0.07,0.2
T1,-0.79,-2.0,0.68,-0.19
T2,0.3,0.29,-1.98,-0.88
A_0,-0.19,-0.39,-0.0,-2.33
