,T0,T1,T2,D_0
T0,-0.89,-0.42,-0.35,0.27
T1,-0.69,-2.05,0.44,0.51
T2,0.43,0.45,-2.08,-0.14
D_0,-0.57,-0.0,0.26,-2.08
