,T0,T1,T2,A_1
T0,-0.69,-1.07,0.0,0.05
T1,-0.09,-2.01,0.0,-1.02
T2,0.24,0.77,-2.14,-0.03
A_1,-0.21,-0.21,-0.82,-2.07
