,T0,T1,T2,C_2
T0,-0.92,-0.5,-0.13,-0.27
T1,-0.08,-2.01,-0.01,0.0
T2,0.08,-0.04,-2.12,0.0
C_2,-0.8,0.24,0.19,-1.46
