,T0,T1,T2,B_1
T0,-1.05,-0.72,-0.11,0.23
T1,-0.01,-2.02,-0.0,-0.01
T2,0.01,-0.02,-2.05,-0.12
B_1,-0.65,0.23,0.02,0.07
