,T0,T1,T2,D_0
T0,-0.98,-0.87,-1.02,0.29
T1,0.09,-2.05,0.0,-0.0
T2,0.46,-0.2,-2.28,0.2
D_0,-0.16,0.46,0.01,-0.68
