,T0,T1,T2,A_1
T0,-0.87,-0.64,0.01,-0.0
T1,0.0,-1.92,-0.0,-0.0
T2,-0.19,0.38,-2.17,-0.19
A_1,-0.2,-0.08,-0.16,-2.21
