,T0,T1,T2,B_2
T0,-0.85,-0.66,0.04,-0.27
T1,0.0,-1.96,-0.0,0.31
T2,-0.23,0.36,-2.16,-0.06
B_2,-0.0,0.0,-0.5,-1.77
