,T0,T1,T2,C_0
T0,-0.85,-0.65,0.47,-0.59
T1,0.0,-1.94,-0.0,0.1
T2,-0.83,0.39,-2.11,0.28
C_0,0.02,0.01,-0.19,-1.63
