,T0,T1,T2,A_0
T0,-0.82,-0.58,0.0,0.0
T1,-0.03,-1.92,0.0,-0.82
T2,0.21,0.73,-2.12,-0.57
A_0,-0.15,-0.06,-0.82,-2.32
