,T0,T1,T2,D_0
T0,-0.82,-0.6,0.0,0.0
T1,-0.22,-2.13,0.0,0.99
T2,0.19,0.65,-2.14,-0.0
D_0,-0.0,0.0,-0.0,-1.5
