,T0,T1,T2,B_2
T0,-0.92,-0.4,0.01,-0.01
T1,-0.82,-1.87,-0.03,0.0
T2,0.0,-0.14,-2.13,-0.31
B_2,-0.4,0.12,-0.04,-1.55
