,SMAD4 (M),PIK3CA (M),MET (M),BCL2/18q (Del)
SMAD4 (M),-3.39,-0.03,-0.07,0.0
PIK3CA (M),-0.01,-2.8,-0.15,-0.43
MET (M),-0.01,-0.16,-2.99,-0.8
BCL2/18q (Del),0.45,-0.04,-0.58,-1.08
