,SMAD4 (M),PIK3CA (M),MET (M),SMARCA4 (M)
SMAD4 (M),-3.35,-0.07,-0.13,-0.82
PIK3CA (M),-0.05,-2.85,-0.19,-0.57
MET (M),-0.13,-0.21,-3.09,-1.08
SMARCA4 (M),-0.8,-0.6,-1.07,-2.59
