,SMAD4 (M),PIK3CA (M),MET (M),STK11 (M)
SMAD4 (M),-3.29,-0.1,-0.18,-0.96
PIK3CA (M),-0.09,-2.77,-0.27,-1.22
MET (M),-0.16,-0.27,-2.99,-2.0
STK11 (M),-0.98,-1.24,-1.98,-1.66
