,SMAD4 (M),PIK3CA (M),MET (M),EPHA7/6q (Del)
SMAD4 (M),-3.29,-0.05,-0.14,-0.46
PIK3CA (M),-0.02,-2.76,-0.22,-0.61
MET (M),-0.05,-0.18,-2.94,-1.18
EPHA7/6q (Del),-0.45,-0.62,-1.14,-1.01
