,SMAD4 (M),PIK3CA (M),MET (M),CDKN2A/9p (Del)
SMAD4 (M),-3.2,-0.03,-0.14,-0.78
PIK3CA (M),-0.02,-2.75,-0.19,-0.48
MET (M),-0.08,-0.14,-2.92,-0.89
CDKN2A/9p (Del),-0.64,-0.48,-0.78,-0.67
