,SMAD4 (M),PIK3CA (M),MET (M),ARID2 (M)
SMAD4 (M),-3.38,-0.05,-0.12,-0.23
PIK3CA (M),-0.06,-2.86,-0.19,-1.04
MET (M),-0.09,-0.18,-3.13,-0.0
ARID2 (M),-0.22,-1.05,-0.0,-3.42
