,SMAD4 (M),PIK3CA (M),MET (M),ARID1A (M)
SMAD4 (M),-3.38,-0.15,-0.1,-0.0
PIK3CA (M),-0.01,-2.92,-0.12,0.65
MET (M),-0.1,-0.23,-3.11,-0.53
ARID1A (M),-0.0,0.0,-0.51,-2.98
