,SMAD4 (M),PIK3CA (M),MET (M),TP53 (M)
SMAD4 (M),-3.15,-0.04,-0.14,-0.69
PIK3CA (M),-0.03,-2.64,-0.21,-0.73
MET (M),-0.09,-0.19,-2.8,-1.09
TP53 (M),-0.67,-0.75,-1.03,-0.24
