,SMAD4 (M),PIK3CA (M),MET (M),RB1 (M)
SMAD4 (M),-3.38,-0.13,-0.11,-0.1
PIK3CA (M),-0.01,-2.94,-0.04,0.86
MET (M),-0.1,-0.41,-3.12,0.0
RB1 (M),-0.04,0.0,-0.0,-3.18
