,SMAD4 (M),PIK3CA (M),MET (M),SETD2 (M)
SMAD4 (M),-3.39,-0.06,-0.1,0.0
PIK3CA (M),-0.06,-2.88,-0.16,-0.0
MET (M),-0.1,-0.2,-3.11,-0.88
SETD2 (M),0.0,-0.0,-0.87,-3.06
