,T0,T1,T2,E_2
T0,-0.82,-0.7,0.23,0.02
T1,-0.14,-1.99,-0.0,-0.09
T2,0.0,0.76,-2.07,0.0
E_2,0.0,-0.48,0.14,-2.13
