,T0,T1,T2,A_1
T0,-0.79,-0.05,0.0,0.02
T1,-0.28,-1.86,0.0,-0.1
T2,0.37,0.26,-2.24,-0.31
A_1,0.0,-0.1,-0.34,-2.24
