,T0,T1,T2,E_1
T0,-0.78,-0.14,0.0,-0.0
T1,-0.2,-1.88,0.0,-0.03
T2,0.37,0.23,-2.26,-0.01
E_1,-0.0,-0.25,-0.01,-2.76
