,T0,T1,T2,B_2
T0,-0.76,-0.41,0.0,-0.0
T1,-0.0,-1.94,0.0,0.0
T2,0.39,0.19,-2.26,-0.0
B_2,-0.01,0.18,-0.01,-1.6
