,T0,T1,T2,C_0
T0,-0.74,-0.36,0.0,-0.14
T1,-0.01,-1.96,0.0,0.16
T2,0.41,0.15,-2.26,-0.01
C_0,-0.28,0.0,-0.18,-1.53
