,T0,T1,T2,A_1
T0,-0.82,-0.07,-0.0,0.04
T1,-0.0,-1.72,0.86,-0.3
T2,-0.01,0.0,-1.97,-0.7
A_1,0.0,-0.34,-0.53,-1.92
