,T0,T1,T2,B_2
T0,-1.04,-1.25,-0.0,1.26
T1,0.29,-1.83,0.8,-0.0
T2,-0.19,0.0,-1.98,0.0
B_2,-0.0,1.11,0.63,-1.11
