,T0,T1,T2,D_0
T0,-0.81,-0.17,-0.0,0.0
T1,-0.0,-1.75,0.84,-0.0
T2,-0.06,-0.0,-2.02,0.0
D_0,0.43,1.23,-0.11,-1.47
