,T0,T1,T2,A_1
T0,-0.7,-0.26,0.0,-0.0
T1,-0.36,-1.57,0.0,0.0
T2,0.15,0.74,-2.0,-0.9
A_1,-0.06,-0.0,-0.78,-2.02
