,STK11 (M),KEAP1 (M),EPHA7/6q (Del)
STK11 (M),-2.14,2.29,-0.01
KEAP1 (M),0.0,-2.06,-0.17
EPHA7/6q (Del),-1.11,-0.0,-0.98
