,STK11 (M),KEAP1 (M),EGFR/7p (Amp)
STK11 (M),-1.59,1.31,-1.83
KEAP1 (M),1.34,-2.05,-1.87
EGFR/7p (Amp),-1.14,-0.98,-0.67
