,STK11 (M),KEAP1 (M),CDKN2A/9p (Del)
STK11 (M),-2.11,2.31,-0.13
KEAP1 (M),-0.0,-2.06,-0.12
CDKN2A/9p (Del),-1.54,-0.0,-0.62
