,T0,T1,T2,B_0
T0,-0.76,-1.46,0.0,0.02
T1,-0.03,-2.05,-0.02,0.24
T2,0.21,0.8,-2.11,-0.38
B_0,-0.02,0.11,0.0,-1.71
