,T0,T1,T2,A_1
T0,-0.78,-1.12,0.2,0.01
T1,-0.12,-1.96,0.0,-0.47
T2,-0.0,0.79,-2.07,-0.27
A_1,0.19,-0.0,-0.97,-2.2
