,T0,T1,T2,C_0
T0,-0.76,-1.26,0.06,-0.04
T1,-0.1,-2.04,-0.02,0.31
T2,0.13,0.79,-2.1,-0.28
C_0,-0.83,-0.23,0.23,-1.61
