,T0,T1,T2,D_0
T0,-0.8,-0.11,-0.87,0.18
T1,-1.28,-1.99,0.25,0.96
T2,0.61,0.7,-2.22,-0.4
D_0,0.0,-0.0,0.35,-1.56
