,T0,T1,T2,E_3
T0,-0.78,-1.04,0.15,-0.01
T1,-0.18,-1.96,-0.0,-0.13
T2,0.0,0.78,-2.11,0.14
E_3,-0.0,-0.44,0.17,-1.86
