,STK11 (M),KEAP1 (M),KRAS (M),FAT1 (M)
STK11 (M),-2.12,2.28,0.0,-0.6
KEAP1 (M),0.0,-2.1,0.01,0.12
KRAS (M),0.24,-0.58,-0.64,-0.18
FAT1 (M),-0.01,0.01,-0.69,-2.9
