,STK11 (M),KEAP1 (M),KRAS (M),SETD2 (M)
STK11 (M),-2.1,2.29,-0.0,-2.06
KEAP1 (M),-0.0,-2.08,0.0,-0.37
KRAS (M),0.23,-0.55,-0.63,-0.63
SETD2 (M),-1.08,-0.85,-0.9,-2.74
