,STK11 (M),KEAP1 (M),KRAS (M),ATM (M)
STK11 (M),-2.14,2.4,-0.0,-1.28
KEAP1 (M),-0.38,-2.07,-0.01,0.06
KRAS (M),0.24,-0.49,-0.65,-0.0
ATM (M),0.75,-1.58,0.73,-3.12
