,STK11 (M),KEAP1 (M),KRAS (M),TP53 (M)
STK11 (M),-1.65,2.22,-0.01,-1.81
KEAP1 (M),-0.0,-1.88,0.39,-1.31
KRAS (M),0.15,-1.83,-0.28,-0.87
TP53 (M),-0.62,-0.17,-2.93,0.23
