,STK11 (M),KEAP1 (M),KRAS (M),BRAF (M)
STK11 (M),-2.13,2.27,-0.0,-0.35
KEAP1 (M),-0.0,-2.1,0.05,-0.15
KRAS (M),0.3,-0.65,-0.59,-1.8
BRAF (M),-0.0,-1.16,-1.6,-2.56
