,STK11 (M),KEAP1 (M),KRAS (M),RBM10 (M)
STK11 (M),-2.12,2.28,-0.0,-0.28
KEAP1 (M),-0.0,-2.05,0.0,-0.53
KRAS (M),0.26,-0.52,-0.65,-0.02
RBM10 (M),-0.96,-0.3,-0.6,-1.83
