,T0,T1,T2,D_0
T0,-0.82,-1.36,-0.33,0.39
T1,-0.11,-2.13,0.0,0.71
T2,0.39,0.47,-2.19,-0.13
D_0,-0.05,0.28,0.16,-1.31
