,T0,T1,T2,B_0
T0,-0.83,-0.26,0.0,-0.14
T1,-0.74,-1.93,0.07,0.56
T2,0.11,0.57,-2.12,-0.13
B_0,-0.0,0.0,-0.11,-1.65
