,T0,T1,T2,C_2
T0,-0.8,-0.68,-0.19,-0.0
T1,-0.34,-2.01,0.59,0.15
T2,0.3,0.0,-2.12,-0.07
C_2,-0.83,0.0,0.06,-1.57
