,T0,T1,T2,E_2
T0,-0.83,-0.66,0.15,0.07
T1,-0.35,-1.96,0.55,-0.19
T2,-0.0,0.12,-2.05,0.04
E_2,0.04,-0.27,0.34,-2.25
