,TP53 (M),RB1 (M),RB1/13q (Del),STK11 (M),KEAP1 (M),ARID1A (M)
TP53 (M),-0.16,1.0,0.0,-2.11,-0.12,0.0
RB1 (M),0.0,-3.03,0.08,-1.38,-1.07,-0.16
RB1/13q (Del),-0.47,0.0,-0.85,-1.62,-1.47,-1.06
STK11 (M),-0.95,-1.41,-0.24,-1.37,-0.0,-0.03
KEAP1 (M),-1.04,-0.0,-0.14,2.22,-2.35,0.0
ARID1A (M),-0.35,-0.01,-0.47,-1.56,0.0,-2.65
