,TP53 (M),RB1 (M),RB1/13q (Del),STK11 (M),KEAP1 (M),SMAD4 (M)
TP53 (M),-0.16,1.0,-0.0,-1.89,-0.02,-0.21
RB1 (M),0.0,-3.04,0.08,-1.35,-0.96,-0.0
RB1/13q (Del),-0.48,0.0,-0.87,-1.21,-1.33,-0.51
STK11 (M),-1.05,-1.41,-0.38,-1.32,-0.0,-0.52
KEAP1 (M),-1.25,-0.0,-0.18,2.21,-2.3,-0.25
SMAD4 (M),-1.4,-0.0,-0.54,-1.42,-0.87,-2.76
