,TP53 (M),RB1 (M),RB1/13q (Del),STK11 (M),KEAP1 (M),MCL1/1q (Amp)
TP53 (M),-0.03,1.12,0.0,-1.87,-0.0,-0.64
RB1 (M),0.0,-3.05,0.13,-1.34,-0.97,0.0
RB1/13q (Del),-0.35,-0.0,-0.8,-1.29,-1.23,-0.54
STK11 (M),-0.99,-1.49,-0.31,-1.35,0.0,-0.0
KEAP1 (M),-1.09,-0.0,-0.2,2.21,-2.33,-0.0
MCL1/1q (Amp),-0.71,0.35,0.0,0.02,-0.31,-0.37
